"","andrewWiggins","allStarStarters2022AveragesWOWiggins","allStarStarters2022Averages"
"Age","26",28.889,28.6
"G","45",40.444,40.9
"GS","45",40.444,40.9
"MP","31.5",34.344,34.06
"FG","6.8",9.733,9.44
"FGA","14.0",19.533,18.98
"FG%",".483",0.5,0.498
"3P","2.2",2.056,2.07
"3PA","5.4",5.689,5.66
"3P%",".412",0.355,0.361
"2P","4.6",7.689,7.38
"2PA","8.6",13.867,13.34
"2P%",".528",0.553,0.55
"eFG%",".563",0.551,0.553
"FT","2.3",6.033,5.66
"FTA","3.5",7.367,6.98
"FT%",".662",0.826,0.809
"ORB","1.1",1.333,1.31
"DRB","3.2",6.611,6.27
"TRB","4.2",7.933,7.56
"AST","2.1",6.367,5.94
"STL","0.9",1.156,1.13
"BLK","0.6",0.756,0.74
"TOV","1.5",3.233,3.06
"PF","1.8",2.2,2.16
"PTS","18.1",27.556,26.61
